stock,month,start_price,end_price,roi,rank
NVIDIA,2024-07,159.93428306022466,140.73164614375077,-12.006579545701888,2.0
NVIDIA,2024-08,140.68540492859486,153.4273656237994,9.05705940262371,2.0
NVIDIA,2024-09,147.6870343522352,180.76073132931938,22.394448586599044,2.0
NVIDIA,2024-10,149.28347921780096,151.9415509869608,1.7805532019265071,2.0
Apple,2024-07,159.93428306022466,140.73164614375077,-12.006579545701888,2.0
Apple,2024-08,140.68540492859486,153.4273656237994,9.05705940262371,2.0
Apple,2024-09,147.6870343522352,180.76073132931938,22.394448586599044,2.0
Apple,2024-10,149.28347921780096,151.9415509869608,1.7805532019265071,2.0
Microsoft,2024-07,159.93428306022466,140.73164614375077,-12.006579545701888,2.0
Microsoft,2024-08,140.68540492859486,153.4273656237994,9.05705940262371,2.0
Microsoft,2024-09,147.6870343522352,180.76073132931938,22.394448586599044,2.0
Microsoft,2024-10,149.28347921780096,151.9415509869608,1.7805532019265071,2.0
